"country","date","type","total_cases"
"Nigeria",2020-04-29,"death",51
"Nigeria",2020-04-30,"death",58
"Nigeria",2020-01-22,"recovered",0
"Nigeria",2020-01-23,"recovered",0
"Nigeria",2020-01-24,"recovered",0
"Nigeria",2020-01-25,"recovered",0
"Nigeria",2020-01-26,"recovered",0
"Nigeria",2020-01-27,"recovered",0
"Nigeria",2020-01-28,"recovered",0
"Nigeria",2020-01-29,"recovered",0
"Nigeria",2020-01-30,"recovered",0
"Nigeria",2020-01-31,"recovered",0
"Nigeria",2020-02-01,"recovered",0
"Nigeria",2020-02-02,"recovered",0
"Nigeria",2020-02-03,"recovered",0
"Nigeria",2020-02-04,"recovered",0
"Nigeria",2020-02-05,"recovered",0
"Nigeria",2020-02-06,"recovered",0
"Nigeria",2020-02-07,"recovered",0
"Nigeria",2020-02-08,"recovered",0
"Nigeria",2020-02-09,"recovered",0
"Nigeria",2020-02-10,"recovered",0
"Nigeria",2020-02-11,"recovered",0
"Nigeria",2020-02-12,"recovered",0
"Nigeria",2020-02-13,"recovered",0
"Nigeria",2020-02-14,"recovered",0
"Nigeria",2020-02-15,"recovered",0
"Nigeria",2020-02-16,"recovered",0
"Nigeria",2020-02-17,"recovered",0
"Nigeria",2020-02-18,"recovered",0
"Nigeria",2020-02-19,"recovered",0
"Nigeria",2020-02-20,"recovered",0
"Nigeria",2020-02-21,"recovered",0
"Nigeria",2020-02-22,"recovered",0
"Nigeria",2020-02-23,"recovered",0
"Nigeria",2020-02-24,"recovered",0
"Nigeria",2020-02-25,"recovered",0
"Nigeria",2020-02-26,"recovered",0
"Nigeria",2020-02-27,"recovered",0
"Nigeria",2020-02-28,"recovered",0
"Nigeria",2020-02-29,"recovered",0
"Nigeria",2020-03-01,"recovered",0
"Nigeria",2020-03-02,"recovered",0
"Nigeria",2020-03-03,"recovered",0
"Nigeria",2020-03-04,"recovered",0
"Nigeria",2020-03-05,"recovered",0
"Nigeria",2020-03-06,"recovered",0
"Nigeria",2020-03-07,"recovered",0
"Nigeria",2020-03-08,"recovered",0
"Nigeria",2020-03-09,"recovered",0
"Nigeria",2020-03-10,"recovered",0
"Nigeria",2020-03-11,"recovered",0
"Nigeria",2020-03-12,"recovered",0
"Nigeria",2020-03-13,"recovered",0
"Nigeria",2020-03-14,"recovered",0
"Nigeria",2020-03-15,"recovered",0
"Nigeria",2020-03-16,"recovered",0
"Nigeria",2020-03-17,"recovered",0
"Nigeria",2020-03-18,"recovered",1
"Nigeria",2020-03-19,"recovered",1
"Nigeria",2020-03-20,"recovered",1
"Nigeria",2020-03-21,"recovered",1
"Nigeria",2020-03-22,"recovered",2
"Nigeria",2020-03-23,"recovered",2
"Nigeria",2020-03-24,"recovered",2
"Nigeria",2020-03-25,"recovered",2
"Nigeria",2020-03-26,"recovered",2
"Nigeria",2020-03-27,"recovered",3
"Nigeria",2020-03-28,"recovered",3
"Nigeria",2020-03-29,"recovered",3
"Nigeria",2020-03-30,"recovered",8
"Nigeria",2020-03-31,"recovered",8
"Nigeria",2020-04-01,"recovered",9
"Nigeria",2020-04-02,"recovered",20
"Nigeria",2020-04-03,"recovered",25
"Nigeria",2020-04-04,"recovered",25
"Nigeria",2020-04-05,"recovered",33
"Nigeria",2020-04-06,"recovered",35
"Nigeria",2020-04-07,"recovered",44
"Nigeria",2020-04-08,"recovered",44
"Nigeria",2020-04-09,"recovered",51
"Nigeria",2020-04-10,"recovered",58
"Nigeria",2020-04-11,"recovered",70
"Nigeria",2020-04-12,"recovered",85
"Nigeria",2020-04-13,"recovered",91
"Nigeria",2020-04-14,"recovered",99
"Nigeria",2020-04-15,"recovered",128
"Nigeria",2020-04-16,"recovered",152
"Nigeria",2020-04-17,"recovered",159
"Nigeria",2020-04-18,"recovered",166
"Nigeria",2020-04-19,"recovered",170
"Nigeria",2020-04-20,"recovered",188
"Nigeria",2020-04-21,"recovered",188
"Nigeria",2020-04-22,"recovered",197
"Nigeria",2020-04-23,"recovered",197
"Nigeria",2020-04-24,"recovered",208
"Nigeria",2020-04-25,"recovered",222
"Nigeria",2020-04-26,"recovered",239
"Nigeria",2020-04-27,"recovered",255
"Nigeria",2020-04-28,"recovered",255
"Nigeria",2020-04-29,"recovered",307
"Nigeria",2020-04-30,"recovered",319
